observation_date,LREM25FEUSM156N
1975-06-01,49.7995410877733
1975-07-01,49.2148968293910
1975-08-01,49.7173295811453
1975-09-01,51.4921065180835
1975-10-01,52.6707607469608
1975-11-01,52.5119527397432
1975-12-01,52.4420115976805
1976-01-01,52.1153126169974
1976-02-01,52.2992946337330
1976-03-01,52.8250696933493
1976-04-01,53.0773054934129
1976-05-01,53.0828038125496
1976-06-01,52.1499913256834
1976-07-01,51.1829340724609
1976-08-01,51.6149759051032
1976-09-01,53.3636049553329
1976-10-01,54.1804288883411
1976-11-01,54.4711644965171
1976-12-01,54.5876630554941
1977-01-01,53.7091551368855
1977-02-01,53.9854007446600
1977-03-01,54.6026076958830
1977-04-01,54.7610904827047
1977-05-01,55.1596302529207
1977-06-01,53.7137151763102
1977-07-01,53.1161094224924
1977-08-01,53.2035252130423
1977-09-01,55.4160201706749
1977-10-01,56.1897845557976
1977-11-01,56.5818410304744
1977-12-01,56.6406061483519
1978-01-01,56.0775810143356
1978-02-01,56.7060408497125
1978-03-01,57.2842590812992
1978-04-01,57.3871950488162
1978-05-01,57.1527794409982
1978-06-01,56.1392601802922
1978-07-01,55.2844557977415
1978-08-01,55.4713383386962
1978-09-01,58.1461208948120
1978-10-01,59.2725458519434
1978-11-01,59.1631481569334
1978-12-01,59.0660446612518
1979-01-01,58.0260047281324
1979-02-01,58.4983595723086
1979-03-01,59.0057721757569
1979-04-01,58.7375556026266
1979-05-01,58.7606586643490
1979-06-01,57.5786709187263
1979-07-01,57.4829693096425
1979-08-01,57.7445366366717
1979-09-01,60.0910045502275
1979-10-01,60.6613454960091
1979-11-01,60.7076479881052
1979-12-01,61.0788997634399
1980-01-01,60.2893853455261
1980-02-01,60.5643893870759
1980-03-01,60.8865199132401
1980-04-01,60.7288475271245
1980-05-01,60.3707195915645
1980-06-01,58.9370982552801
1980-07-01,58.0981398332264
1980-08-01,58.2900665584044
1980-09-01,60.4863568900560
1980-10-01,60.7974103540247
1980-11-01,61.1939279455609
1980-12-01,61.0833409070254
1981-01-01,60.5506667876259
1981-02-01,61.2462074899244
1981-03-01,61.6822641168226
1981-04-01,61.7268070317965
1981-05-01,61.7356824223854
1981-06-01,60.3675131013697
1981-07-01,59.6959967668785
1981-08-01,59.7435782489801
